CTYNAME,prosperityZone,pop2022,GrowthRate,popDensity,stateIndex
Alamance County,Piedmont-Triad,175471,16.1052,413.8904,1
Alexander County,Northwest,36294,-2.4302,139.6085,2
Alleghany County,Northwest,10834,-2.8776,46.0903,3
Anson County,Southwest,21077,-21.7864,39.6593,4
Ashe County,Northwest,26437,-3.0937,62.0367,5
Avery County,Northwest,17808,0.0618,72.0732,6
Beaufort County,Northeast,44030,-7.808,53.2125,7
Bertie County,Northeast,17264,-18.8798,24.6886,8
Bladen County,Sandhills,28490,-19.0395,32.5834,9
Brunswick County,Southeast,142545,32.6852,167.8656,10
Buncombe County,Western,275678,15.6765,419.8079,11
Burke County,Northwest,86902,-4.4109,171.3642,12
Cabarrus County,Southwest,235362,32.2177,650.6216,13
Caldwell County,Northwest,80176,-3.4361,170.0208,14
Camden County,Northeast,10431,4.519,43.362,15
Carteret County,Southeast,67930,2.198,134.1852,16
Caswell County,Piedmont-Triad,22540,-4.9707,53.048,17
Catawba County,Northwest,161860,4.8601,405.9459,18
Chatham County,North Central,78841,24.1493,115.5591,19
Cherokee County,Western,29040,5.8155,63.7638,20
Chowan County,Northeast,13492,-8.7947,78.2271,21
Clay County,Western,11189,5.6862,52.1009,22
Cleveland County,Southwest,99807,1.7629,214.9567,23
Columbus County,Sandhills,49127,-15.4412,52.4504,24
Craven County,Southeast,100164,-3.2279,141.2834,25
Cumberland County,Sandhills,337788,5.7468,517.7053,26
Currituck County,Northeast,29010,23.2004,110.7857,27
Dare County,Northeast,37515,10.5985,97.8851,28
Davidson County,Piedmont-Triad,170140,4.4586,307.8451,29
Davie County,Piedmont-Triad,43006,4.2823,162.9625,30
Duplin County,Southeast,46757,-20.0803,57.2876,31
Durham County,North Central,336283,25.6724,1175.7742,32
Edgecombe County,North Central,47370,-16.2364,93.7553,33
Forsyth County,Piedmont-Triad,388974,10.9231,952.9601,34
Franklin County,North Central,70163,15.7442,142.703,35
Gaston County,Southwest,232315,12.7272,652.5515,36
Gates County,Northeast,10134,-16.914,29.7669,37
Graham County,Western,7864,-11.2516,26.9253,38
Granville County,North Central,61208,2.1564,115.2932,39
Greene County,Southeast,20269,-5.1166,76.2198,40
Guilford County,Piedmont-Triad,551877,12.9955,854.618,41
Halifax County,Northeast,47408,-13.3166,65.4728,42
Harnett County,North Central,137346,19.7667,230.8427,43
Haywood County,Western,62699,6.2047,113.2368,44
Henderson County,Western,118189,10.7261,316.7887,45
Hertford County,Northeast,20928,-15.1648,59.276,46
Hoke County,Sandhills,53108,13.1113,135.9141,47
Hyde County,Northeast,4345,-25.2151,7.0924,48
Iredell County,Southwest,192145,20.5147,334.6229,49
Jackson County,Western,43677,8.4577,88.9971,50
Johnston County,North Central,225423,33.4828,284.9473,51
Jones County,Southeast,8976,-11.5926,19.0691,52
Lee County,North Central,64369,11.238,252.4701,53
Lenoir County,Southeast,54248,-8.8192,135.4244,54
Lincoln County,Southwest,88518,13.1004,297.0812,55
Macon County,Western,37632,10.9369,72.992,56
Madison County,Western,21279,2.4803,47.3385,57
Martin County,Northeast,21537,-12.1118,46.6959,58
McDowell County,Northwest,44494,-1.1157,100.9832,59
Mecklenburg County,Southwest,1154652,25.5564,2206.0231,60
Mitchell County,Northwest,14767,-5.2121,66.6868,61
Montgomery County,Sandhills,25341,-8.8388,51.528,62
Moore County,Sandhills,102023,15.6107,146.1931,63
Nash County,North Central,94796,-1.0893,175.417,64
New Hanover County,Southeast,230310,13.6396,1201.0211,65
Northampton County,Northeast,16545,-25.1324,30.8337,66
Onslow County,Southeast,209936,18.0928,275.2262,67
Orange County,North Central,151676,13.3594,381.1096,68
Pamlico County,Southeast,12102,-7.9276,35.9557,69
Pasquotank County,Northeast,40550,-0.273,178.7237,70
Pender County,Southeast,61801,18.3542,71.0649,71
Perquimans County,Northeast,12915,-3.9991,52.2453,72
Person County,North Central,39023,-1.1175,99.5418,73
Pitt County,Northeast,170663,1.4957,261.8769,74
Polk County,Western,19092,-6.9137,80.2938,75
Randolph County,Piedmont-Triad,144655,2.0479,185.0527,76
Richmond County,Sandhills,42208,-9.5006,89.0723,77
Robeson County,Sandhills,113002,-15.7757,119.0736,78
Rockingham County,Piedmont-Triad,90586,-3.2645,160.1726,79
Rowan County,Southwest,148565,7.3229,290.5871,80
Rutherford County,Western,63770,-5.9578,113.0586,81
Sampson County,Sandhills,58156,-8.3161,61.5589,82
Scotland County,Sandhills,33778,-6.5796,105.9375,83
Stanly County,Southwest,62888,3.8013,159.176,84
Stokes County,Piedmont-Triad,43944,-7.2931,97.9013,85
Surry County,Piedmont-Triad,70897,-3.768,133.2233,86
Swain County,Western,14145,1.173,26.79,87
Transylvania County,Western,32966,-0.3747,87.0895,88
Tyrrell County,Northeast,3013,-31.6315,7.7447,89
Union County,Southwest,245663,22.0431,388.9282,90
Vance County,North Central,42010,-7.5118,165.7018,91
Wake County,North Central,1175094,30.4221,1406.7485,92
Warren County,North Central,18176,-13.3321,42.4221,93
Washington County,Northeast,10559,-20.1769,30.3302,94
Watauga County,Northwest,54688,7.0655,174.9737,95
Wayne County,Southeast,116275,-5.1768,210.2622,96
Wilkes County,Northwest,65295,-5.8336,86.5667,97
Wilson County,North Central,78294,-3.6192,212.6734,98
Yadkin County,Piedmont-Triad,36976,-3.7234,110.4324,99
Yancey County,Northwest,18600,4.3888,59.5018,100